az,el
-180,-30
-180,0
-180,30
-170,-30
-170,0
-170,30
-160,-30
-160,0
-160,30
-150,-30
-150,0
-150,30
-140,-30
-140,0
-140,30
-130,-30
-130,0
-130,30
-120,-30
-120,0
-120,30
-110,-30
-110,0
-110,30
-100,-30
-100,0
-100,30
-90,-30
-90,0
-90,30
-80,-30
-80,0
-80,30
-70,-30
-70,0
-70,30
-60,-30
-60,0
-60,30
-50,-30
-50,0
-50,30
-40,-30
-40,0
-40,30
-30,-30
-30,0
-30,30
-20,-30
-20,0
-20,30
-10,-30
-10,0
-10,30
0,-30
0,0
0,30
10,-30
10,0
10,30
20,-30
20,0
20,30
30,-30
30,0
30,30
40,-30
40,0
40,30
50,-30
50,0
50,30
60,-30
60,0
60,30
70,-30
70,0
70,30
80,-30
80,0
80,30
90,-30
90,0
90,30
100,-30
100,0
100,30
110,-30
110,0
110,30
120,-30
120,0
120,30
130,-30
130,0
130,30
140,-30
140,0
140,30
150,-30
150,0
150,30
160,-30
160,0
160,30
170,-30
170,0
170,30
-180,60
-160,60
-140,60
-120,60
-100,60
-80,60
-60,60
-40,60
-20,60
0,60
20,60
40,60
60,60
80,60
100,60
120,60
140,60
160,60
