az,el
-80,0
-90,10
-100,1.22E-15
-70,0
-90,20
-110,2.40E-15
-50,0
-90,40
-130,4.51E-15
-20,0
-20.34390165,10.32909457
-90,70
-159.6560984,10.32909457
-160,6.59E-15
-19.82733671,40.26550778
-49.98557451,70.24884615
-130.0144255,70.24884615
-160.1726633,40.26550778
-10,0
-10.15108171,9.84655194
-20.58547912,60.40449003
-31.09383453,70.3520414
-148.9061655,70.3520414
-159.4145209,60.40449003
-169.8489183,9.84655194
-170,6.91E-15
-9.924985039,59.62449347
-170.075015,59.62449347
0,0
0,10
0,20
0,30
0,40
0,50
0,60
0,70
180,70
180,60
180,50
180,40
180,30
180,20
180,10
180,7.02E-15
9.924985039,59.62449347
170.075015,59.62449347
10,0
10.15108171,9.84655194
20.58547912,60.40449003
31.09383453,70.3520414
148.9061655,70.3520414
159.4145209,60.40449003
169.8489183,9.84655194
170,6.91E-15
19.82733671,40.26550778
49.98557451,70.24884615
130.0144255,70.24884615
160.1726633,40.26550778
20,0
20.34390165,10.32909457
90,70
159.6560984,10.32909457
160,6.59E-15
50,0
90,40
130,4.51E-15
70,0
90,20
110,2.40E-15
80,0
90,10
100,1.22E-15
